Place,County,Population,Density,PerCapitaIncome,MedianIncome1,MedianIncome2
ACALANES RIDGE,Contra Costa,1226,2659.4,62314,160000,190104
ACAMPO,San Joaquin,776,827.3,36756,141250,NA
ACTON,Los Angeles,6956,177.2,39131,92245,99448
ADELANTO,San Bernardino,31773,567.3,9998,35262,35537
ADIN,Modoc,215,62.6,15452,29583,60083
AGOURA HILLS,Los Angeles,20630,2647.2,50242,107268,118673
AGUA DULCE,Los Angeles,2898,126.8,37538,88864,102989
AGUANGA,Riverside,897,66,26330,50213,52420
AHWAHNEE,Madera,2165,216,34915,59129,69583
AIRPORT,Stanislaus,1547,2639.9,11709,21607,32292
ALAMEDA,Alameda,75763,7255.6,42331,76439,93427
ALAMO,Contra Costa,15639,1617.4,77281,163151,171633
ALBANY,Alameda,19020,10637.6,40426,78769,91967
ALBION,Mendocino,295,162.5,23881,12209,62500
ALDERPOINT,Humboldt,255,105,13177,32688,NA
ALHAMBRA,Los Angeles,84400,11060.1,24971,53195,57056
ALHAMBRA VALLEY,Contra Costa,499,375.5,41738,62000,80729
ALISO VIEJO,Orange,49437,7145.1,44986,102325,122390
ALLEGHANY,Sierra,115,329.5,15316,37663,NA
ALLENDALE,Solano,1613,262.9,50026,123125,145799
ALLENSWORTH,Tulare,480,154.7,7966,25625,19250
ALMANOR,Plumas,0,0,NA,NA,NA
ALONDRA PARK,Los Angeles,8833,7979.2,21583,55263,57944
ALPAUGH,Tulare,969,964.2,9919,26927,26776
ALPINE,San Diego,14580,544.4,37365,78433,92257
ALPINE VILLAGE,Alpine,105,37.4,27154,66458,115417
ALTA,Placer,369,154.8,29864,55833,61389
ALTADENA,Los Angeles,44622,5120.7,42089,83917,94886
ALTA SIERRA,Nevada,6902,829.5,34823,68792,78983
ALTO,Marin,678,5381,73358,62235,106103
ALTURAS,Modoc,2714,1114.6,21118,31087,55363
ALUM ROCK,Santa Clara,10992,12947,20466,70202,71050
AMADOR CITY,Amador,164,522.3,42554,48750,52500
AMERICAN CANYON,Napa,20089,3303.6,28451,81955,89954
AMESTI,Santa Cruz,3213,1074.2,19677,48617,52031
ANAHEIM,Orange,342973,6862.6,23990,59707,63281
ANCHOR BAY,Mendocino,254,72.3,39850,34191,85650
ANDERSON,Shasta,10066,1579.7,17414,35225,45599
ANGELS,Calaveras,3782,1042.4,31306,55114,73229
ANGWIN,Napa,3583,742,21387,66765,72813
ANTELOPE,Sacramento,47798,6993.1,23808,64122,68510
ANTIOCH,Contra Costa,105630,3728.6,25499,65770,73023
ANZA,Riverside,2356,85.4,20347,39489,60208
APPLE VALLEY,San Bernardino,70561,947.9,23543,48337,54646
APTOS,Santa Cruz,5872,912.9,39214,78929,91920
APTOS HILLS-LARKIN VALLEY,Santa Cruz,1808,195.5,36420,74185,86310
ARBUCKLE,Colusa,3009,1710.6,15611,47639,50431
ARCADIA,Los Angeles,57251,5240.4,38582,80147,93635
ARCATA,Humboldt,17679,1944.5,18681,30244,45728
ARDEN-ARCADE,Sacramento,92844,5207.5,31469,45750,60601
ARMONA,Kings,3531,1854.5,11790,38622,41711
ARNOLD,Calaveras,2728,184.5,33988,58688,78353
AROMAS,MontereySan Benito,2677,565.2,30316,67019,81080
ARROYO GRANDE,San Luis Obispo,17536,3006.3,32351,63558,81883
ARTESIA,Los Angeles,16698,10301,21688,60544,62485
ARTOIS,Glenn,194,67.4,10773,60096,60481
ARVIN,Kern,20028,4156,10582,35359,34809
ASHLAND,Alameda,23360,12709.5,18959,45074,48571
ASPEN SPRINGS,Mono,54,15.1,43841,NA,NA
ATASCADERO,San Luis Obispo,28792,1119.7,32602,66342,77998
ATHERTON,San Mateo,7034,1398.7,144197,NA,NA
ATWATER,Merced,28686,4691.9,18663,41619,45281
AUBERRY,Fresno,2347,122.6,24603,50221,60066
AUBURN,Placer,13690,1913.6,36104,54085,77027
AUBURN LAKE TRAILS,El Dorado,3839,301.6,36145,93833,115853
AUGUST,San Joaquin,8479,6777.8,10941,28518,33083
AVALON,Los Angeles,3768,1283.8,28545,54231,56765
AVENAL,Kings,14553,749.3,7532,29302,29932
AVERY,Calaveras,674,149.7,21169,31719,36667
AVILA BEACH,San Luis Obispo,1166,194,43153,73304,74821
AVOCADO HEIGHTS,Los Angeles,15432,5702.9,22076,72174,74382
AZUSA,Los Angeles,47420,4910.9,18159,52087,57131
BAKER,San Bernardino,916,340.8,13559,36838,38063
BAKERSFIELD,Kern,358700,2414.7,23786,56842,61994
BALDWIN PARK,Los Angeles,76411,11523.3,15419,51189,51599
BALLARD,Santa Barbara,323,273.7,65977,87083,116250
BALLICO,Merced,333,110.2,22216,41250,73333
BANGOR,Butte,575,42.8,19272,39500,48409
BANNING,Riverside,30281,1310.9,20246,39556,46434
BARSTOW,San Bernardino,23110,559,18863,40648,48977
BASS LAKE,Madera,570,296,25752,36250,58438
BAY POINT,Contra Costa,21586,3280.5,17385,41749,42983
BAYVIEW,Contra Costa,2025,6639.3,29636,82431,95150
BAYVIEW,Humboldt,2408,3289.6,18175,26987,35987
BEALE AFB,Yuba,1342,132.9,16375,42904,42684
BEAR CREEK,Merced,197,3456.1,11585,16719,32800
BEAR VALLEY,Alpine,43,8.3,21109,75179,NA
BEAR VALLEY,Mariposa,201,27.8,10781,16042,11597
BEAR VALLEY SPRINGS,Kern,5058,121.9,38716,82761,97212
BEAUMONT,Riverside,39620,1279.4,26627,66775,75809
BECKWOURTH,Plumas,290,24.8,43100,52609,81351
BELDEN,Plumas,46,75.4,NA,NA,NA
BELL,Los Angeles,35896,14352.7,12031,36496,36390
BELLA VISTA,Shasta,2717,122.4,22187,52041,57586
BELL CANYON,Ventura,2289,632,81271,208508,215441
BELLFLOWER,Los Angeles,77521,12671,20213,49360,53023
BELL GARDENS,Los Angeles,42712,17369.7,11460,37103,36739
BELMONT,San Mateo,26503,5730.4,56302,106287,142446
BELVEDERE,Marin,2036,3922.9,119798,166250,181833
BENBOW,Humboldt,314,64.3,30828,47308,46779
BEND,Tehama,641,219.7,33164,74375,86964
BENICIA,Solano,27450,2123.1,43640,89094,113235
BEN LOMOND,Santa Cruz,6485,775.7,36066,70281,88986
BENTON,Mono,178,6.2,19566,26000,43468
BERKELEY,Alameda,115688,11053.7,42406,65283,114720
BERMUDA DUNES,Riverside,7719,2613.1,35103,60494,61940
BERRY CREEK,Butte,1292,22.6,22781,41287,52188
BERTSCH-OCEANVIEW,Del Norte,2568,468,17953,35678,48269
BETHEL ISLAND,Contra Costa,2158,386.5,30388,36845,72536
BEVERLY HILLS,Los Angeles,34536,6050.5,81788,87366,123636
BIEBER,Lassen,127,77.6,17413,42083,52083
BIG BEAR CITY,San Bernardino,12563,393.2,23024,43404,50346
BIG BEAR LAKE,San Bernardino,5104,804.2,30115,41058,47368
BIG BEND,Shasta,87,15.2,17511,23750,41750
BIG CREEK,Fresno,201,437,36270,82917,101250
BIGGS,Butte,2010,3160.4,16624,40847,42273
BIG LAGOON,Humboldt,142,237.1,27510,60179,92639
BIG PINE,Inyo,1612,545.7,26038,49750,61563
BIG RIVER,San Bernardino,1061,98,23785,23589,34750
BIOLA,Fresno,1017,1571.9,8090,26750,32333
BISHOP,Inyo,3851,2066,23661,30395,65142
BLACKHAWK,Contra Costa,9297,1602.7,85049,167875,195833
BLACKLAKE,San Luis Obispo,942,901.4,48044,71471,81917
BLACK POINT-GREEN POINT,Marin,1111,393,71770,117431,130893
BLAIRSDEN,Plumas,35,64.6,41300,11250,NA
BLOOMFIELD,Sonoma,373,45.8,40524,77955,122863
BLOOMINGTON,San Bernardino,25228,4213.8,14012,48985,48091
BLUE LAKE,Humboldt,1258,2121.4,25209,45750,58125
BLUEWATER,San Bernardino,174,195.1,26989,40417,42250
BLYTHE,Riverside,20101,767.5,15835,46393,48400
BODEGA,Sonoma,156,53.8,53951,29688,NA
BODEGA BAY,Sonoma,603,72.3,72541,86000,143333
BODFISH,Kern,1961,246,16580,20121,21861
BOLINAS,Marin,1403,240.8,50783,74310,115741
BOMBAY BEACH,Imperial,171,181.7,22526,15050,11875
BONADELLE RANCHOS-MADERA RANCHOS,Madera,8503,730.6,29845,77321,81735
BONITA,San Diego,13864,2763.4,34407,87666,99860
BONNY DOON,Santa Cruz,2752,164.9,46896,88221,104609
BONSALL,San Diego,4138,308.9,43006,69399,81711
BOONVILLE,Mendocino,1090,196.7,14796,35938,39632
BOOTJACK,Mariposa,959,137,19924,41683,54583
BORON,Kern,2241,162.4,15269,31333,31534
BORONDA,Monterey,1278,2323.6,13117,42333,42292
BORREGO SPRINGS,San Diego,2359,54.8,21464,36583,43750
BOSTONIA,San Diego,16460,8519.7,19252,42333,47347
BOULDER CREEK,Santa Cruz,4741,631.1,43381,79392,103583
BOULEVARD,San Diego,434,111.1,16235,12421,72943
BOWLES,Fresno,182,477.7,18409,31250,90833
BOYES HOT SPRINGS,Sonoma,7664,7237,26245,54788,56331
BRADBURY,Los Angeles,845,431.8,76472,112273,116667
BRADLEY,Monterey,127,1476.7,19103,53333,73500
BRAWLEY,Imperial,25478,3316.6,17700,41718,47344
BREA,Orange,40443,3316.9,35245,81857,98944
BRENTWOOD,Contra Costa,54062,3640.3,33357,88697,100925
BRET HARTE,Stanislaus,4998,9103.8,9379,28279,31389
BRIDGEPORT,Mono,761,35,28094,39118,107896
BRISBANE,San Mateo,4421,1428,40401,80233,96477
BROADMOOR,San Mateo,4734,10496.7,34328,100109,110160
BROOKDALE,Santa Cruz,2204,572.9,56819,84451,104817
BROOKTRAILS,Mendocino,3589,493.5,22821,48097,51250
BUCKHORN,Amador,2503,426.4,24548,49583,57595
BUCK MEADOWS,Mariposa,50,28.7,20440,NA,NA
BUCKS LAKE,Plumas,14,1.4,NA,NA,NA
BUELLTON,Santa Barbara,4924,3112.5,29597,59695,84267
BUENA PARK,Orange,82191,7809.9,24525,68884,72878
BUENA VISTA,Amador,284,175.1,21452,58419,49083
BURBANK,Los Angeles,104484,6025.3,33882,66111,82063
BURBANK,Santa Clara,5869,14563.3,28373,64592,65588
BURLINGAME,San Mateo,29618,6723.7,61062,90890,132210
BURNEY,Shasta,3172,610.5,19176,38214,43346
BURNT RANCH,Trinity,308,23,25077,55500,59028
BUTTE CREEK CANYON,Butte,805,39.3,47737,75417,81875
BUTTE MEADOWS,Butte,34,15.9,NA,NA,NA
BUTTE VALLEY,Butte,603,33,26612,52734,52813
BUTTONWILLOW,Kern,1371,197.9,13690,34274,32647
BYRON,Contra Costa,1305,201.1,29962,75673,60250
BYSTROM,Stanislaus,3805,5359.2,11583,25543,30474
CABAZON,Riverside,3266,671.2,12032,40144,33551
CALABASAS,Los Angeles,23956,1747.8,60703,117176,136724
CALEXICO,Imperial,39281,4550.6,12960,35233,40218
CALIFORNIA CITY,Kern,13243,65.1,22908,57660,61581
CALIFORNIA HOT SPRINGS,Tulare,74,98.9,23838,41250,83750
CALIFORNIA PINES,Modoc,367,49.4,16074,41518,74236
CALIMESA,Riverside,8143,548.5,24981,42392,61319
CALIPATRIA,Imperial,7599,2044.9,10352,30911,32135
CALISTOGA,Napa,5244,2018.5,33280,52131,83889
CALLENDER,San Luis Obispo,1537,672.4,29647,75200,77936
CALPELLA,Mendocino,424,167.1,22521,44000,54038
CALPINE,Sierra,189,266.2,32869,25938,126000
CALWA,Fresno,1330,2131.4,6559,18625,14219
CAMANCHE NORTH SHORE,Amador,947,406.1,33000,77375,83276
CAMANCHE VILLAGE,Amador,840,154.5,29831,86176,103214
CAMARILLO,Ventura,65985,3378.3,39689,87120,102201
CAMBRIA,San Luis Obispo,6246,734.1,40857,62948,82656
CAMBRIAN PARK,Santa Clara,3318,5567.1,46468,101406,112500
CAMERON PARK,El Dorado,18831,1695.4,35469,74690,86690
CAMINO,El Dorado,1833,814.7,35973,72383,81477
CAMINO TASSAJARA,Contra Costa,1789,1404.2,64980,142371,155948
CAMPBELL,Santa Clara,40327,6948.1,44769,91269,103539
CAMP NELSON,Tulare,100,80.8,46972,84107,84107
CAMPO,San Diego,3031,129.1,28810,59294,75272
CAMP PENDLETON NORTH,San Diego,6436,726.9,17566,37075,37075
CAMP PENDLETON SOUTH,San Diego,12691,3243.3,15779,43742,43568
CAMPTONVILLE,Yuba,150,175.6,21369,28750,47917
CANBY,Modoc,693,305.6,11576,41932,41932
CANTUA CREEK,Fresno,440,115.9,9890,31181,31181
CANYONDAM,Plumas,78,100.5,18027,NA,NA
CANYON LAKE,Riverside,10810,2764,34925,74682,79561
CAPITOLA,Santa Cruz,10043,6304.5,37940,56607,81133
CARIBOU,Plumas,0,0,NA,NA,NA
CARLSBAD,San Diego,109296,2897,44305,87416,106924
CARMEL-BY-THE-SEA,Monterey,3807,3525,45928,62460,92750
CARMEL VALLEY VILLAGE,Monterey,4321,227.6,55560,95444,115333
CARMET,Sonoma,14,48.8,NA,NA,NA
CARMICHAEL,Sacramento,63314,4680.2,32665,54598,70783
CARNELIAN BAY,Placer,463,356.4,36276,72083,91389
