srch_destination_id	srch_destination_name	srch_destination_type_id	srch_destination_latitude	srch_destination_longitude	popular_naturalfeature_beach	popular_activity_dining	popular_social_bars	popular_shopping_shopping	popular_historical_historical	popular_food_coffee	popular_field_business
8369	Abilene (and vicinity), Texas, United States of America	464	32.412406	-99.76476	-2.2010472111921344	-1.8090953072483364	-2.030768166802963	-1.9695599215915622	-2.1507807797465675	-2.022663713458681	-2.0461920458091782
8710	Albany (and vicinity), Georgia, United States of America	464	31.617903	-84.2226	-2.1893809097464247	-1.8915431149681978	-2.1394169409824273	-2.0252661252410453	-2.1893809097464247	-2.1102324039519096	-2.0181889276787257
8803	Accra (and vicinity), Ghana	464	5.597013	-0.178161	-2.00585039841696	-1.9256247732852638	-2.0091783636560527	-2.1333803405599836	-2.1397757680096996	-2.1622346806848545	-1.9927532058521733
8865	Lanzarote, Spain	464	28.922668	-13.664571	-1.7388478153800635	-1.7264093865652221	-1.8817758290333744	-2.001632061408338	-2.101744134887414	-2.1937028873501907	-2.236538177342019
8989	Waco (and vicinity), Texas, United States of America	464	31.545305	-97.1281	-2.2029074825122765	-1.9008679236096993	-2.0827512008896583	-2.134735360013929	-2.2029074825122765	-2.044397003816533	-2.045436695838346
9020	Eureka (and vicinity), California, United States of America	464	40.80165	-124.15743	-2.09303228322436	-1.6832794847793293	-1.9987091902980858	-2.098240343785502	-1.9092389455271388	-1.956288820004688	-2.0347476024307474
9082	Addis Ababa (and vicinity), Ethiopia	464	9.016501	38.779329	-2.222649607722867	-1.8715372449380163	-2.0545991868324105	-2.1352813988823356	-2.0308733450122336	-2.0765090652663165	-2.0142580288439578
9578	Agadir, Morocco	557	30.46524	-9.6271	-1.7706924168947162	-1.9036850860664003	-2.082453350856584	-2.0583168738578985	-2.1500298355696357	-2.1783164652428995	-2.150535165462081
10043	Athens (and vicinity), Georgia, United States of America	464	33.95772	-83.388577	-2.2016256432034687	-1.8236070530097206	-2.0293001789488256	-2.062666997757488	-2.1765752351865446	-2.067807188209287	-2.0466606998284744
11407	Waterloo (and vicinity), Iowa, United States of America	464	42.46535	-92.32221	-2.2170913821102562	-1.9062016437984834	-2.0888789341993244	-2.060128300986684	-1.970380028826593	-2.1469198715214834	-1.9669228970230537
