county,state,fips,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,SQMI,coPOP
Lake of the Woods,Minnesota,27077,3874,14,28,33,0,35,13,83,2068,1977,209,224,206,248,137,349,413,747,691,448,260,113,48.4,1775.21,4045
Ferry,Washington,53019,5758,26,1259,52,8,254,89,359,3905,3646,388,376,430,543,402,652,741,1152,1439,900,375,153,47.3,2257.3,7551
Stevens,Washington,53065,38923,145,2413,237,68,1185,289,1456,21782,21749,2310,2756,3244,3205,1675,3707,4853,6975,7290,4714,2052,750,45,2540.75,43531
Okanogan,Washington,53047,30399,159,4675,237,31,7227,4163,1456,20750,20370,2805,2531,2616,2673,2022,4302,4555,5999,6547,4184,2103,783,42.9,5314.96,41120
Pend Oreille,Washington,53051,11907,52,488,73,16,391,91,374,6593,6408,698,696,868,791,488,1044,1374,2137,2420,1541,687,257,47.7,1425.22,13001
Boundary,Idaho,16021,10398,29,189,62,6,402,58,230,5549,5423,687,742,855,744,415,1127,1198,1611,1761,1086,533,213,42.7,1277.91,10972
Lincoln,Montana,30053,18881,23,182,60,9,462,71,461,9998,9689,950,1055,1108,1180,706,1772,1951,3250,3675,2552,1118,370,48.9,3675.08,19687
Flathead,Montana,30029,86802,201,1028,531,58,2070,384,1924,45276,45652,5750,5842,5908,5910,4567,10839,10903,14430,13676,7476,4027,1600,41.2,5256.4,90928
Glacier,Montana,30035,4165,17,8795,26,1,241,23,372,6555,6844,1230,1203,1115,1115,911,1599,1437,2007,1368,796,451,167,31.8,3037.02,13399
Toole,Montana,30101,4896,29,241,23,1,129,31,103,2966,2358,282,261,334,348,300,706,678,918,758,373,226,140,41.4,1945.86,5324
Liberty,Montana,30051,2296,2,5,3,1,8,5,27,1125,1214,127,130,154,160,129,242,241,385,309,212,173,77,44.5,1447.31,2339
Hill,Montana,30041,11896,50,3497,67,7,373,45,534,8122,7974,1250,1189,1170,1231,1199,1993,1700,2303,2023,1044,742,252,35.1,2916.01,16096
Sheridan,Montana,30091,3229,7,57,14,0,51,11,66,1698,1686,153,161,204,187,121,275,323,586,592,353,295,134,50.3,1706.61,3384
Divide,North Dakota,38023,2030,5,11,7,0,30,1,17,1061,1010,98,103,83,108,71,194,169,345,349,251,166,134,51.3,1294.14,2071
Burke,North Dakota,38013,1924,4,15,14,0,37,0,11,1035,933,116,103,117,101,79,178,194,337,331,199,165,48,48,1129.1,1968
Renville,North Dakota,38075,2419,2,10,5,0,24,5,29,1269,1201,132,137,153,152,107,260,278,399,350,228,186,88,45.4,892.4,2470
Bottineau,North Dakota,38009,6112,25,136,16,1,82,22,117,3321,3108,349,302,329,458,323,532,650,1031,1073,678,479,225,47.8,1697.53,6429
Rolette,North Dakota,38079,2825,21,10763,16,1,133,15,296,6897,7040,1411,1309,1126,1257,911,1656,1530,1935,1404,802,466,130,30.6,939.32,13937
Towner,North Dakota,38095,2173,2,49,1,0,10,6,15,1143,1103,106,113,130,121,76,148,225,404,371,256,184,112,50.3,1041.58,2246
Cavalier,North Dakota,38019,3902,4,37,9,1,24,9,31,2043,1950,184,203,232,239,133,304,384,659,633,474,373,175,50.4,1510.12,3993
Pembina,North Dakota,38067,7077,21,144,11,2,190,58,100,3777,3636,416,431,451,438,312,730,761,1217,1168,659,550,280,46.5,1121.45,7413
Kittson,Minnesota,27069,4484,11,4,16,0,69,12,25,2286,2266,222,255,323,260,165,356,476,730,736,460,367,202,48.2,1103.65,4552
Roseau,Minnesota,27135,14767,39,201,392,3,116,17,210,7980,7649,1002,1104,1193,1136,647,1628,2075,2691,1903,1191,709,350,40.7,1678.31,15629
Blaine,Montana,30005,3130,7,3208,6,1,115,12,127,3248,3243,575,533,537,503,384,705,653,938,786,449,304,124,35.1,4238.96,6491
Phillips,Montana,30071,3702,1,351,10,1,81,17,171,2097,2156,237,269,267,299,146,390,392,747,643,452,270,141,46.7,5211.98,4253
Valley,Montana,30105,6409,17,724,37,3,91,24,155,3664,3705,415,478,473,494,246,685,744,1176,1133,771,501,253,46.3,5061.94,7369
Daniels,Montana,30019,1676,3,37,4,0,27,2,29,881,870,98,101,100,93,48,150,151,284,291,190,153,92,50.4,1426.14,1751
Whatcom,Washington,53073,171816,1929,5683,7090,492,15756,6577,7553,99635,101505,11337,11265,12059,15905,20277,26169,23995,27329,26164,14668,8229,3743,36.5,2163.54,201140
Bonner,Idaho,16017,39261,58,315,184,42,911,163,854,20592,20285,2142,2411,2713,2447,1674,3999,4613,6654,7215,4351,1912,746,45.7,1919.67,40877
Ward,North Dakota,38101,55718,1542,1630,583,84,1869,428,1690,31250,30425,4794,3907,3622,4245,6458,9486,6880,7883,6374,3891,2754,1381,32.9,2055.85,61675
Koochiching,Minnesota,27071,12593,78,311,44,3,147,25,257,6608,6703,633,761,831,885,577,1180,1522,2195,2123,1356,870,378,46.3,3154.49,13311
Skagit,Washington,53057,97448,774,2516,2080,226,19709,10118,3739,57980,58921,7597,7414,7696,8052,6580,14104,13828,16511,16243,10259,5927,2690,40.1,1755.15,116901
Williams,North Dakota,38105,20639,63,899,79,5,436,69,644,11548,10850,1546,1329,1405,1435,1429,3136,2403,3499,2888,1582,1140,606,38.9,2148.32,22398
McHenry,North Dakota,38049,5275,8,30,16,0,80,18,48,2793,2602,290,303,340,341,182,538,605,874,804,520,433,165,46.2,1911.7,5395
